message_id,received_ts,channel,customer_id,subject_line,message_body,cta_type,brand_mimicked,reported_source,is_ai_like,label_is_phishing,model_phish_score
M5001,2025-11-25 02:38:05,email,C1014,Your recent ShopHub activity requires attention,Review your recent purchases and confirm they were made by you.,other,ShopHub,customer_report,True,True,
M5002,2025-11-25 14:58:53,sms,C1006,Your recent ShopHub activity requires attention,Review your recent purchases and confirm they were made by you.,other,ShopHub,customer_report,True,True,
M5003,2025-11-25 11:38:01,sms,C1019,Your ShopHub order has shipped,Your order has shipped. Track it from your account dashboard.,other,ShopHub,system_notification,False,False,
M5004,2025-11-25 01:01:27,email,C1002,Your ShopHub order has shipped,Your order has shipped. Track it from your account dashboard.,other,ShopHub,system_notification,False,False,
M5005,2025-11-25 01:52:43,email,C1012,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,spam_trap,True,True,
M5006,2025-11-25 16:37:23,sms,C1013,Your ShopHub account has been locked – verify now,We detected unusual activity. Sign in within 24 hours to avoid permanent suspension.,reset_password,OtherBrand,customer_report,False,True,
M5007,2025-11-28 08:59:58,email,C1005,Your ShopHub account has been locked – verify now,We detected unusual activity. Sign in within 24 hours to avoid permanent suspension.,reset_password,ShopHub,spam_trap,True,True,
M5008,2025-11-20 02:18:19,sms,C1017,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,spam_trap,True,True,
M5009,2025-11-29 00:10:27,sms,C1020,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,spam_trap,True,True,
M5010,2025-11-24 15:25:47,email,C1015,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,customer_report,True,True,
M5011,2025-11-29 04:31:58,sms,C1005,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,partner_feed,False,True,
M5012,2025-11-28 21:55:32,whatsapp,C1017,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,customer_report,False,True,
M5013,2025-11-26 02:47:24,whatsapp,C1018,Your ShopHub account has been locked – verify now,We detected unusual activity. Sign in within 24 hours to avoid permanent suspension.,reset_password,ShopHub,customer_report,True,True,
M5014,2025-11-27 15:40:35,whatsapp,C1019,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,customer_report,True,True,
M5015,2025-11-27 06:02:16,whatsapp,C1009,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,spam_trap,True,True,
M5016,2025-11-25 05:37:44,email,C1013,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,BankX,customer_report,True,True,
M5017,2025-11-27 14:32:04,sms,C1006,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,spam_trap,False,True,
M5018,2025-11-21 11:27:29,whatsapp,C1025,Your recent ShopHub activity requires attention,Review your recent purchases and confirm they were made by you.,other,BankX,customer_report,True,True,
M5019,2025-11-29 16:45:52,email,C1015,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,OtherBrand,customer_report,True,True,
M5020,2025-11-24 00:02:17,email,C1015,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,OtherBrand,spam_trap,True,True,
M5021,2025-11-22 14:21:22,email,C1004,Your ShopHub order has shipped,Your order has shipped. Track it from your account dashboard.,other,ShopHub,system_notification,False,False,
M5022,2025-11-27 00:08:42,sms,C1019,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,customer_report,True,True,
M5023,2025-11-25 23:12:59,email,C1014,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,partner_feed,True,True,
M5024,2025-11-27 15:13:11,whatsapp,C1024,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,spam_trap,True,True,
M5025,2025-11-27 18:24:57,email,C1015,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,ShopHub,spam_trap,True,True,
M5026,2025-11-21 05:14:53,sms,C1014,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,ShopHub,partner_feed,True,True,
M5027,2025-11-30 06:03:05,email,C1002,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,spam_trap,True,True,
M5028,2025-11-27 12:49:59,email,C1019,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,customer_report,True,True,
M5029,2025-11-27 04:25:52,whatsapp,C1003,Your recent ShopHub activity requires attention,Review your recent purchases and confirm they were made by you.,other,ShopHub,spam_trap,True,True,
M5030,2025-11-29 14:33:31,whatsapp,C1015,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,spam_trap,True,True,
M5031,2025-11-30 06:04:21,whatsapp,C1019,Your recent ShopHub activity requires attention,Review your recent purchases and confirm they were made by you.,other,ShopHub,spam_trap,True,True,
M5032,2025-11-23 13:27:04,sms,C1003,Your ShopHub order has shipped,Your order has shipped. Track it from your account dashboard.,other,ShopHub,system_notification,False,False,
M5033,2025-11-24 15:25:25,sms,C1013,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,ShopHub,customer_report,True,True,
M5034,2025-11-25 09:53:04,email,C1024,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,customer_report,False,True,
M5035,2025-11-26 23:04:44,whatsapp,C1005,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,ShopHub,spam_trap,True,True,
M5036,2025-11-26 19:23:11,email,C1011,Your ShopHub account has been locked – verify now,We detected unusual activity. Sign in within 24 hours to avoid permanent suspension.,reset_password,ShopHub,spam_trap,True,True,
M5037,2025-11-29 02:00:32,email,C1017,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,customer_report,True,True,
M5038,2025-11-25 18:49:34,whatsapp,C1009,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,customer_report,True,True,
M5039,2025-11-25 18:40:06,whatsapp,C1004,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,ShopHub,spam_trap,False,True,
M5040,2025-11-27 20:56:35,whatsapp,C1005,Your ShopHub account has been locked – verify now,We detected unusual activity. Sign in within 24 hours to avoid permanent suspension.,reset_password,ShopHub,partner_feed,False,True,
M5041,2025-11-25 17:48:38,sms,C1016,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,BankX,spam_trap,True,True,
M5042,2025-11-27 22:24:34,whatsapp,C1003,Claim your exclusive $100 ShopHub gift card,Limited-time offer. Claim your $100 gift card here: http://shophub-gifts.net,gift_card,BankX,spam_trap,False,True,
M5043,2025-11-25 18:48:35,whatsapp,C1001,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,BankX,customer_report,True,True,
M5044,2025-11-30 19:18:57,whatsapp,C1017,Your ShopHub account has been locked – verify now,We detected unusual activity. Sign in within 24 hours to avoid permanent suspension.,reset_password,ShopHub,customer_report,True,True,
M5045,2025-11-27 03:52:22,whatsapp,C1021,Your ShopHub order has shipped,Your order has shipped. Track it from your account dashboard.,other,ShopHub,system_notification,False,False,
M5046,2025-11-30 13:30:57,whatsapp,C1012,Your recent ShopHub activity requires attention,Review your recent purchases and confirm they were made by you.,other,BankX,customer_report,True,True,
M5047,2025-11-23 09:57:43,sms,C1023,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,BankX,customer_report,True,True,
M5048,2025-11-25 01:04:28,email,C1003,You are eligible for an instant refund,You are eligible for an instant refund. Verify your card details on our secure portal.,refund_offer,OtherBrand,customer_report,True,True,
M5049,2025-11-28 06:24:44,sms,C1020,Confirm your Black Friday order or it will be cancelled,Tap here to confirm your TV order or it will be cancelled: http://shophub-tv-sale.io,confirm_order,ShopHub,customer_report,False,True,
M5050,2025-11-26 09:25:18,sms,C1003,Your ShopHub account has been locked – verify now,We detected unusual activity. Sign in within 24 hours to avoid permanent suspension.,reset_password,ShopHub,customer_report,True,True,
